"code_muni","year","biome","LV","LTA","UR","SDII","TASMAX","TASMIN","PREC_MEAN","PREC_SUM"
"3525409",2003,"Cerrado",0,0,67.1825,4.71666666666667,27.795,17.6391666666667,4.06416666666667,124.006666666667
"3525508",2003,"Mata Atlantica",0,0,82.465,5.24166666666667,23.9908333333333,18.0508333333333,4.0075,121.4725
"3525607",2003,"Mata Atlantica",0,0,65.3541666666667,4.68333333333333,28.6575,16.3041666666667,5.465,165.526666666667
"3525706",2003,"Mata Atlantica",0,0,68.2841666666667,4.49166666666667,27.2841666666667,16.2675,5.18333333333333,156.961666666667
"3525805",2003,"Mata Atlantica",0,0,69.4866666666667,4.46666666666667,27.0966666666667,16.435,5.29416666666667,160.809166666667
"3525854",2003,"Mata Atlantica",0,0,65.8716666666667,4.8,28.3116666666667,16.2525,5.43083333333333,165.864166666667
"3526100",2003,"Mata Atlantica",0,0,63.9066666666667,4.46666666666667,29.4191666666667,16.4458333333333,5.39666666666667,164.23
"3526209",2003,"Mata Atlantica",0,0,72.7175,4.425,26.1225,18.0258333333333,4.31916666666667,130.700833333333
"3526308",2003,"Mata Atlantica",0,0,83.1691666666667,4.775,24.0941666666667,17.8066666666667,4.18916666666667,126.876666666667
"3526407",2003,"Mata Atlantica",0,0,64.305,4.54166666666667,29.0716666666667,18.0908333333333,4.18166666666667,126.744166666667
"3526605",2003,"Mata Atlantica",0,0,64.0633333333333,4.55,29.2,17.9141666666667,4.33,132.095
"3526704",2003,"Mata Atlantica",0,0,83.1691666666667,4.975,24.0941666666667,18.2708333333333,4.14333333333333,125.755833333333
"3526803",2003,"Cerrado",0,0,67.6833333333333,4.525,27.6083333333333,15.2108333333333,4.12583333333333,124.886666666667
"3526902",2003,"Cerrado",0,0,68.6408333333333,4.375,27.3408333333333,15.16,3.9075,118.234166666667
"3527009",2003,"Mata Atlantica",0,0,75.9233333333333,4.41666666666667,25.5741666666667,15.425,3.94416666666667,119.411666666667
"3527207",2003,"Mata Atlantica",0,0,76.0591666666667,4.35833333333333,25.5683333333333,15.1041666666667,4.0475,123.370833333333
"3527256",2003,"Mata Atlantica",0,0,81.5266666666667,5.23333333333333,23.95,15.4175,3.93666666666667,119.575
"3527306",2003,"Mata Atlantica",0,0,83.1675,4.69166666666667,22.98,19.55,4.0375,122.216666666667
"3527405",2003,"Mata Atlantica",0,0,66.76,4.65,28.1283333333333,19.4175,3.80166666666667,115.198333333333
"3527504",2003,"Cerrado",0,0,67.6941666666667,4.35833333333333,27.5566666666667,19.6708333333333,3.805,115.183333333333
"3527603",2003,"Cerrado",0,0,65.12,4.58333333333333,28.4166666666667,19.4708333333333,4.07666666666667,124.224166666667
