"code_muni","year","PREC_SUM"
"1303205",2005,158.9725
"1303304",2001,166.123333333333
"1303304",2002,154.900833333333
"1303304",2003,161.495
"1303304",2004,158.885833333333
"1303304",2005,166.669166666667
"1303403",2001,128.969166666667
"1303403",2002,114.4
"1303403",2003,125.783333333333
"1303403",2004,124.698333333333
"1303403",2005,137.291666666667
"1303502",2001,179.138333333333
"1303502",2002,178.025
"1303502",2003,182.834166666667
"1303502",2004,177.236666666667
"1303502",2005,180.165833333333
"1303536",2001,137.703333333333
"1303536",2002,132.890833333333
"1303536",2003,134.356666666667
"1303536",2004,137.908333333333
"1303536",2005,141.25
"1303569",2001,148.431666666667
"1303569",2002,141.994166666667
"1303569",2003,147.226666666667
"1303569",2004,147.21
"1303569",2005,153.411666666667
"1303601",2001,182.3225
"1303601",2002,183.931666666667
"1303601",2003,178.969166666667
"1303601",2004,181.2475
"1303601",2005,186.123333333333
"1303700",2001,221.8825
"1303700",2002,217.49
"1303700",2003,218.171666666667
"1303700",2004,219.890833333333
"1303700",2005,222.098333333333
"1303809",2001,220.845
"1303809",2002,218.580833333333
"1303809",2003,215.334166666667
"1303809",2004,219.284166666667
"1303809",2005,219.438333333333
"1303908",2001,216.186666666667
"1303908",2002,214.693333333333
"1303908",2003,216.311666666667
"1303908",2004,216.454166666667
"1303908",2005,220.359166666667
"1303957",2001,136.145
"1303957",2002,124.215
"1303957",2003,131.534166666667
"1303957",2004,131.733333333333
"1303957",2005,142.319166666667
"1304005",2001,139.286666666667
"1304005",2002,125.388333333333
"1304005",2003,136.51
"1304005",2004,134.921666666667
"1304005",2005,144.935
"1304062",2001,218.721666666667
"1304062",2002,219.875
"1304062",2003,220.31
"1304062",2004,221.345833333333
"1304062",2005,226.435
"1304104",2001,188.220833333333
"1304104",2002,180.540833333333
"1304104",2003,184.194166666667
"1304104",2004,179.725833333333
"1304104",2005,185.776666666667
"1304203",2001,194.825833333333
"1304203",2002,190.9525
"1304203",2003,191.634166666667
"1304203",2004,188.854166666667
"1304203",2005,192.183333333333
"1304237",2001,207.831666666667
"1304237",2002,202.3825
"1304237",2003,204.95
"1304237",2004,204.4925
"1304237",2005,206.485833333333
"1304260",2001,182.889166666667
"1304260",2002,179.478333333333
"1304260",2003,179.5575
"1304260",2004,179.191666666667
"1304260",2005,180.25
"1304302",2001,125.729166666667
"1304302",2002,116.8625
"1304302",2003,121.215
"1304302",2004,124.454166666667
"1304302",2005,129.293333333333
"1304401",2001,133.975833333333
"1304401",2002,118.425833333333
"1304401",2003,128.3
"1304401",2004,127.906666666667
"1304401",2005,140.006666666667
"1600055",2001,115.408333333333
"1600055",2002,114.1225
"1600055",2003,109.571666666667
"1600055",2004,114.014166666667
"1600055",2005,130.435833333333
"1600105",2001,192.22
"1600105",2002,198.395833333333
"1600105",2003,185.526666666667
"1600105",2004,194.91
"1600105",2005,215.841666666667
"1600154",2001,99.4941666666667
"1600154",2002,99.3975
"1600154",2003,93.2758333333333
"1600154",2004,99.4775
"1600154",2005,113.013333333333
"1600204",2001,184.799166666667
"1600204",2002,184.950833333333
"1600204",2003,180.0075
"1600204",2004,182.153333333333
"1600204",2005,201.0525
"1600212",2001,184.855833333333
"1600212",2002,187.15
"1600212",2003,174.314166666667
"1600212",2004,188.5675
"1600212",2005,212.254166666667
"1600238",2001,127.601666666667
"1600238",2002,128.06
"1600238",2003,121.600833333333
"1600238",2004,127.985
"1600238",2005,145.755
"1600253",2001,155.940833333333
"1600253",2002,153.17
"1600253",2003,144.153333333333
"1600253",2004,155.881666666667
"1600253",2005,175.208333333333
"1600279",2001,89.6575
"1600279",2002,87.44
"1600279",2003,84.1783333333333
"1600279",2004,88.7525
"1600279",2005,99.9833333333333
"1600303",2001,169.178333333333
"1600303",2002,167.285833333333
"1600303",2003,155.905
"1600303",2004,167.9525
"1600303",2005,191.1525
"1600402",2001,103.278333333333
"1600402",2002,101.100833333333
"1600402",2003,96.2091666666667
"1600402",2004,101.4025
